"Project","Customer","Customer Tier","Project Status","Competency","IC","Secondary IC","IC Lead","Station Name","Estimated Go Live Date","Integration Type","Template Name","Surge Transferable","Product Detail","Jira Ticket Number","Developer Name","Engineering Due Date","Action Pending On","Engineering Status","HR Source","ITSM Source","Directory Source","Downstream App","Use Case","Comment"
"ADP Workforce Now/Active Directory","Interplastic Corporation","Silver","Awaiting Go-Live","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-06-30T00:00:00.000Z","UserSync","","false","Product has all features","","","","","Completed","","","","","","Customer is Live , Need to check with EM on further action"
"ADP Workforce Now/Entra ID","BoldAge PACE","Bronze","Onboarding","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Rajat","Madhu","","2026-07-02T00:00:00.000Z","UserSync","","false","Product has all features","","","","","In Progress","","","","","","Customer hold the project , they working on the third party vendor"
"ADP Workforce Now/Entra ID","Better Buzz Coffee Company, LLC","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-07-09T00:00:00.000Z","UserSync","","false","Product has all features","","","","","In Progress","","","","","","last call was on June 26th, customer will be validating the reportonly report"
"ADP Workforce Now/Entra ID","Naviga Inc.","Bronze","Onboarding","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Rajat","Madhu","","2026-07-10T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","customer testing in-progress"
"ADP Workforce Now/Active Directory","Naviga Inc.","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Rajat","Madhu","","2026-07-10T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","customer testing in-progress"
"ADP Workforce Now/Active Directory","Paradise Tomato Kitchens","Silver","Awaiting Go-Live","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-07-15T00:00:00.000Z","UserSync","","false","Features are missing in the product","","","","","","","","","","","Customer mailed us mentioning they are ready for go live .Only few checks pending from there end"
"ADP Workforce Now/Entra ID","Paradise Tomato Kitchens","Silver","Awaiting Go-Live","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-07-15T00:00:00.000Z","DATA SYNC","","false","Product has all features","","","","","","","","","","","Customer mailed us mentioning they are ready for go live .Only few checks pending from there end"
"Dayforce/Active Directory","Vitu, Inc.","Silver","Implementation","7. Dayforce to Microsoft","Sai Sushanth","Gowtham Kumar","Madhu","","2026-07-27T00:00:00.000Z","CoreTemplate, with user sync writeback","Active Directory / Dayforce (3.0.0)","true","Features are missing in the product","","","","","Not Started","","","","","","Customer testing in progress, customer want to prortize goggle workspace integration"
"Dayforce/Entra ID","Vitu, Inc.","Silver","Implementation","7. Dayforce to Microsoft","Sai Sushanth","Gowtham Kumar","Madhu","","2026-07-27T00:00:00.000Z","UserSync","","true","Product has all features","","","","","","","","","","","Customer testing in progress, customer want to prortize goggle workspace integration"
"ADP Workforce Now/Active Directory","Radio Free Asia","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Jonty Gladwin","Madhu","","2026-07-29T00:00:00.000Z","UserSync","","true","Product has all features","","","","","","","","","","","Customer Testing in progress, Next call yet to be scheduled"
"Dayforce/Entra ID","Kingston Midstream Limited","Bronze","Implementation","7. Dayforce to Microsoft","Shravani","Shravani","Madhu","Implementation & Development","2026-07-31T00:00:00.000Z","Core Templates","ADP Workforce Now / Entra ID (2.0.2)","false","Product has all features","","","","","","","","","","","IA report Ready , call was scheduled today but due to customer unavailability , next call is scheduled on 13th July"
"Dayforce/Active Directory","EBC, Inc.","Silver","Implementation","7. Dayforce to Microsoft","Rajat","","Madhu","Implementation & Development","2026-07-31T00:00:00.000Z","Core Templates","Active Directory / Dayforce (2.0.2)","false","Product has all features","","","","","","","","","","","waiting IA Report to schecule the next call"
"Dayforce/Entra ID","EBC, Inc.","Silver","Implementation","7. Dayforce to Microsoft","Rajat","","Madhu","","2026-07-31T00:00:00.000Z","Core Templates","Dayforce / Entra ID (2.0.2)","false","Product has all features","","","","","","","","","","","waiting IA Report to schecule the next call"
"ADP Workforce Now/Entra ID","NewRocket, LLC","Bronze","Implementation","8. ADP WFN to Microsoft","Saurav Kumar","Gowtham Kumar","Madhu","","2026-07-31T00:00:00.000Z","Core Templates","ADP Workforce Now / Entra ID (2.0.2)","true","Product has all features","https://aquera.atlassian.net/browse/CSI-559,https://aquera.atlassian.net/browse/CSI-560","","","","","ADP Workforce Now","","Entra ID","","","Testing Almost completed , Customer come with send email with HTML . which is not yet supported"
"ADP Workforce Now/Entra ID","Xtant Medical","Bronze","Implementation","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-07-31T00:00:00.000Z","UserSync","","false","Features are missing in the product","","","","","Completed","","","","","","Custom script required , Sai working on the script"
"ADP Workforce Now/Active Directory","Xtant Medical","Bronze","Go Live Completed","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-07-31T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Custom script required , Sai working on the script"
"Dayforce/Active Directory","Kingston Midstream Limited","Bronze","Implementation","7. Dayforce to Microsoft","Shravani","Shravani","Madhu","","2026-07-31T00:00:00.000Z","Core Templates","Active Directory / Dayforce (2.0.2)","true","Product has all features","","","","","","","","","","","IA report Ready , call was scheduled today but due to customer unavailability , next call is scheduled on 13th July"
"ADP Workforce Now/Entra ID","Elevate ENT Partners","Silver","On Hold","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Saurav Kumar","Madhu","","2026-08-01T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","customer yet to buy ADP creds, Customer Mentioned they are not in hurry to impliment Aquera anywere soon"
"ADP Workforce Now/Active Directory","Elevate ENT Partners","Silver","On Hold","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Saurav Kumar","Madhu","","2026-08-01T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","customer yet to buy ADP creds, Customer Mentioned they are not in hurry to impliment Aquera anywere soon"
"Dayforce/Entra ID","The Travel Corporation","Bronze","On Hold","7. Dayforce to Microsoft","Poojitha Munirathnam","Shravani","Madhu","","2026-08-05T00:00:00.000Z","Core Templates","Dayforce / Entra ID (2.0.2)","true","Product has all features","","","","","","","","","","","customer wants to fix their Dayforce Data since its not stable they want to reconnect On August 10th and want to cancel any calls before that . They would inform us if there is any changes in their plan"
"Dayforce/Active Directory","The Travel Corporation","Bronze","On Hold","7. Dayforce to Microsoft","Poojitha Munirathnam","Shravani","Madhu","Integration Analysis","2026-08-05T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","true","Product has all features","","","","","","","","","","","customer wants to fix their Dayforce Data since its not stable they want to reconnect On August 10th and want to cancel any calls before that . They would inform us if there is any changes in their plan"
"Dayforce/Active Directory","Royal Flying Doctor Service of Australia ( Queensland Section) Limited","Silver","Onboarding","7. Dayforce to Microsoft","Puja Roy","Shravani","Madhu","","2026-08-08T00:00:00.000Z","Core Templates","Active Directory / Dayforce (2.0.2)","true","Product has all features","","","","","","","","","","","Need Attention from solution team"
"ADP Workforce Now/Entra ID","The Baker Group","Silver","Onboarding","8. ADP WFN to Microsoft","Jonty Gladwin","","Madhu","Connectivity","2026-08-14T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.0)","false","","","","","","","","","","","","Connectivity yet to be sceduled"
"ADP Workforce Now/Active Directory","City of Jonsboro","Silver","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Saurav Kumar","Madhu","","2026-08-17T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer need to Review the report"
"ADP Workforce Now/Entra ID","City of Jonsboro","Silver","Onboarding","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Saurav Kumar","Madhu","","2026-08-17T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer need to Review the report"
"ADP Workforce Now/Entra ID","Adhesives Research, Inc.","Bronze","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","","2026-08-28T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","true","Product has all features","","","","","","","","","","","ADP issue from the customer end is resolved , Kickoff to be scheduledcen"
"ADP Workforce Now/Entra ID","Thompson Gas, LLC","Platinum","Onboarding","8. ADP WFN to Microsoft","Rajat","","Madhu","Onboarding Concierge","2026-08-28T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","HR to Microsoft candidates"
"ADP Workforce Now/Active Directory","Adhesives Research, Inc.","Bronze","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Connectivity","2026-08-28T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","true","Product has all features","","","","","","","","","","","ADP issue from the customer end is resolved , Kickoff to be scheduledcen"
"ADP Workforce Now/Entra ID","Thompson Gas, LLC","Platinum","Onboarding","8. ADP WFN to Microsoft","Rajat","","Madhu","Onboarding Concierge","2026-08-28T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","",""
"ADP Workforce Now/Active Directory","Thompson Gas, LLC","Platinum","Onboarding","8. ADP WFN to Microsoft","Rajat","","Madhu","Onboarding Concierge","2026-08-29T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","New Customer"
"ADP Workforce Now/Active Directory","Thompson Gas, LLC","Platinum","Onboarding","8. ADP WFN to Microsoft","Rajat","","Madhu","Onboarding Concierge","2026-08-29T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","",""
"ADP Workforce Now/Active Directory","Kolmac Clinic, LLC","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Gowtham Kumar","Madhu","","2026-08-29T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer testing in progress. Customer unavailable on 2nd july , call postponed to July 9th"
"Dayforce/Active Directory","Firstrust Savings Bank","Silver","Onboarding","7. Dayforce to Microsoft","Jonty Gladwin","","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","Connectivity Done on 3rd July , IA need to be initiated"
"ADP Workforce Now/Entra ID","Itochu Building","Silver","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","new customer"
"Dayforce/Entra ID","Firstrust Savings Bank","Silver","Onboarding","7. Dayforce to Microsoft","Madhusudhan Jami","Madhusudhan Jami","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","connectivity Done , IA to be initiated"
"Dayforce/Entra ID","Seqwater","Bronze","Future Ready DII","7. Dayforce to Microsoft","Poojitha Munirathnam","Madhusudhan Jami","Madhu","","2026-08-31T00:00:00.000Z","Core Templates","Dayforce / Entra ID (2.0.2)","true","Product has all features","","","","","","","","","","","Future Ready DII"
"ADP Workforce Now/Active Directory","Itochu Building","Silver","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","new customer"
"Dayforce/Active Directory","Seqwater","Bronze","Future Ready DII","7. Dayforce to Microsoft","Poojitha Munirathnam","Madhusudhan Jami","Madhu","","2026-08-31T00:00:00.000Z","Core Templates","Active Directory / Dayforce (2.0.2)","true","Product has all features","","","","","","","","","","","Future ready DII"
"Dayforce/Entra ID","Angels of Care Pediatric Home Health","Platinum","Future Ready DII","7. Dayforce to Microsoft","Shravani","Shravani","Madhu","","2026-08-31T00:00:00.000Z","Core Templates","Dayforce / Entra ID (2.0.2)","true","Product has all features","","","","","Completed","","","","","",""
"Dayforce/Entra ID","Firstrust Savings Bank","Silver","Onboarding","7. Dayforce to Microsoft","Madhusudhan Jami","Madhusudhan Jami","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.0)","false","","","","","","","","","","","","Connectivity Done on 3rd July , IA need to be initiated"
"Dayforce/Active Directory","Firstrust Savings Bank","Silver","Onboarding","7. Dayforce to Microsoft","Jonty Gladwin","","Madhu","Onboarding Concierge","2026-08-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","Product has all features","","","","","","","","","","","Connectivity Done on 3rd July , IA need to be initiated"
"Dayforce/Entra ID","SW Accountants & Advisors Pty Ltd","Bronze","Testing & UAT","7. Dayforce to Microsoft","Poojitha Munirathnam","Saurav Kumar","Madhu","","2026-09-05T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","true","Product has all features","https://aquera.atlassian.net/browse/CON-14962","","","","","","","","","JML","Connectivity Done , next call scheduled on 6th july"
"Dayforce/Active Directory","SW Accountants & Advisors Pty Ltd","Bronze","Testing & UAT","7. Dayforce to Microsoft","Poojitha Munirathnam","Saurav Kumar","Madhu","","2026-09-05T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","true","Product has all features","https://aquera.atlassian.net/browse/CSI-429","","","","","","","","","JML","Connectivity Done , next call scheduled on 6th july"
"ADP Workforce Now/Entra ID","MedZed, LLC","Bronze","On Hold","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-10-03T00:00:00.000Z","UserSync","","false","Features are missing in the product","","","","","","","","","","","Customer kept this project On hold."
"Dayforce/Active Directory","TridentCare (Symphony Diagnostic Services No. 1 LLC)","Platinum","Future Ready DII","7. Dayforce to Microsoft","Saurav Kumar","","Madhu","","2026-10-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","Not Started","","","","","","future ready DII"
"Dayforce/Active Directory","Workskil Australia","Bronze","Future Ready DII","7. Dayforce to Microsoft","Poojitha Munirathnam","Jonty Gladwin","Madhu","","2026-10-31T00:00:00.000Z","Core Templates","Active Directory / Dayforce (2.0.2)","true","Product has all features","","","","","","","","","","","Future Ready DII"
"Dayforce/Entra ID","TridentCare (Symphony Diagnostic Services No. 1 LLC)","Platinum","Future Ready DII","7. Dayforce to Microsoft","Saurav Kumar","","Madhu","","2026-10-31T00:00:00.000Z","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","Not Started","","","","","","future ready DII"
"ADP Workforce Now/Active Directory","AIPSO","Bronze","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Onboarding Concierge","","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","",""
"ADP Workforce Now/Entra ID","The Building Center","Bronze","Landed","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","","","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","","Customer waorking on there environment to make users to cloud only"
"ADP Workforce Now/Entra ID","Blue Streak LLC","Silver","Onboarding","8. ADP WFN to Microsoft","Shravani","Shravani","Madhu","Onboarding Concierge","","Core Templates","ADP Workforce Now / Entra ID (2.0.2)","false","","","","","","","","","","","","New Customer"
"ADP Workforce Now/Entra ID","RHC Group Management, LLC DBA Bookmark Medical","Gold","Onboarding","","Shravani","","Madhu","Onboarding Concierge","","Core Templates","ADP Workforce Now / Entra ID (2.0.2)","false","","","","","","","","","","","","New customer"
"ADP Workforce Now/Active Directory","Council on Foreign Relations","Bronze","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Onboarding Concierge","","Core Templates","Active Directory / ADP Workforce Now (2.0.2)","false","","","","","","","","","","","","new customer"
"ADP Workforce Now/Entra ID","AIPSO","Bronze","Onboarding","8. ADP WFN to Microsoft","Gowtham Kumar","Gowtham Kumar","Madhu","Onboarding Concierge","","Core Templates","Any HR / Active Directory / Entra ID (1.0.2)","false","","","","","","","","","","","",""
